evaluate_id,customer_id,customer_name,hotel_id,room_id,type_room_id,evaluate_title,evaluate_content,evaluate_loaction_point,evaluate_service_point,evaluate_price_point,evaluate_sanitary_point,evaluate_convenient_point,created_at,updated_at,deleted_at
17,14,Nhuận Báo Thủ Cute,1,4,8,Nơi Nghỉ Dưỡng Lý Tưởng,"Khách sạn có không gian đẹp, phòng ngủ thoải mái.",5,4,4,4,4,2022-12-25 22:40:55,nan,
18,15,Nhân Lê Khả,5,2,5,Dịch Vụ Tốt,"Dịch vụ khách sạn tuyệt vời, phòng ốc sạch sẽ, không gian thoải mái.",5,5,5,5,5,2022-12-26 00:55:17,nan,
19,16,Nhân Lê Khả,6,3,8,Phòng Ngủ Đẹp,"Phòng ngủ khách sạn đẹp, không gian thoải mái, nhân viên thân thiện.",5,5,4,4,5,2022-12-26 03:10:29,nan,
20,17,Đà Nẵng Golden Bay,8,8,8,Nơi Nghỉ Dưỡng Lý Tưởng,"Khách sạn đẹp, phòng ốc rộng rãi, không gian thoải mái.",5,5,5,5,5,2022-12-26 05:25:42,nan,
27,3,Customer 1,2,101,201,Tốt,"Khách sạn tốt, vị trí thuận lợi",4,5,3,4,5,2024-11-04 13:50:16,2024-11-04 13:50:16,
28,5,Customer 2,2,102,202,Ổn,Dịch vụ ổn nhưng cần cải thiện,3,3,4,3,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
29,6,Customer 3,2,103,203,Tuyệt vời,Khách sạn sạch sẽ và tiện nghi,5,5,5,5,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
30,8,Customer 4,2,104,204,Hài lòng,"Dịch vụ tốt, nhân viên thân thiện",4,4,4,4,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
31,9,Customer 5,2,105,205,Giá tốt,Giá phòng hợp lý,3,3,5,4,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
32,10,Customer 6,2,106,206,Trung bình,"Phòng hơi chật, tiện nghi chưa đầy đủ",3,2,3,3,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
33,11,Customer 7,2,107,207,Xuất sắc,Dịch vụ và vệ sinh tuyệt vời,5,5,4,5,5,2024-11-04 13:50:16,2024-11-04 13:50:16,
34,12,Customer 8,2,108,208,Thất vọng,Không gian không thoáng đãng,2,2,3,2,2,2024-11-04 13:50:16,2024-11-04 13:50:16,
35,13,Customer 9,2,109,209,Tốt,"Gần trung tâm, tiện đi lại",4,4,4,4,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
36,14,Customer 10,2,110,210,Khá hài lòng,Nhân viên phục vụ tốt,4,3,4,4,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
37,3,Customer 1,3,111,211,Tốt,Khách sạn đẹp và sạch sẽ,4,4,3,5,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
38,5,Customer 2,3,112,212,Khá ổn,"Dịch vụ ổn, giá hợp lý",3,3,4,3,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
39,6,Customer 3,3,113,213,Tuyệt vời,"Dịch vụ tốt, vị trí thuận lợi",5,4,5,5,5,2024-11-04 13:50:16,2024-11-04 13:50:16,
40,8,Customer 4,3,114,214,Hài lòng,"Tiện nghi đầy đủ, phục vụ tốt",4,4,4,4,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
41,9,Customer 5,3,115,215,Giá ổn,Phòng đẹp với mức giá phải chăng,3,3,4,4,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
42,10,Customer 6,3,116,216,Trung bình,"Phòng hơi cũ, tiện nghi chưa đầy đủ",3,2,3,3,3,2024-11-04 13:50:16,2024-11-04 13:50:16,
43,11,Customer 7,3,117,217,Xuất sắc,"Phòng đẹp, dịch vụ tuyệt vời",5,5,4,5,5,2024-11-04 13:50:16,2024-11-04 13:50:16,
44,12,Customer 8,3,118,218,Thất vọng,Không sạch sẽ như mong đợi,2,2,3,2,2,2024-11-04 13:50:16,2024-11-04 13:50:16,
45,13,Customer 9,3,119,219,Khá ổn,"Gần trung tâm, tiện nghi đầy đủ",4,4,4,4,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
46,14,Customer 10,3,120,220,Hài lòng,Nhân viên phục vụ chu đáo,4,3,4,4,4,2024-11-04 13:50:16,2024-11-04 13:50:16,
47,3,Customer 11,17,2,3,Title 77,Content 52,2,1,1,3,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
48,16,Customer 10,17,5,5,Title 17,Content 16,2,1,2,1,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
50,13,Customer 6,3,7,5,Title 89,Content 61,2,1,1,4,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
51,5,Customer 3,16,5,1,Title 75,Content 75,3,2,5,4,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
52,17,Customer 5,17,4,3,Title 14,Content 43,4,2,4,1,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
54,3,Customer 16,9,3,5,Title 4,Content 40,5,2,5,2,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
55,8,Customer 17,16,8,2,Title 86,Content 14,1,1,3,1,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
56,17,Customer 17,18,4,2,Title 25,Content 48,4,4,5,1,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
57,13,Customer 14,18,8,2,Title 20,Content 16,2,4,3,2,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
58,9,Customer 7,3,7,4,Title 13,Content 28,1,2,1,1,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
59,13,Customer 7,10,3,5,Title 8,Content 49,2,4,4,5,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
62,16,Customer 5,6,5,4,Title 31,Content 33,4,4,1,5,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
63,10,Customer 16,4,10,3,Title 40,Content 63,5,5,2,2,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
64,15,Customer 15,11,1,5,Title 83,Content 78,3,4,2,3,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
65,13,Customer 3,20,6,1,Title 85,Content 91,1,2,2,5,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
66,8,Customer 6,4,1,4,Title 39,Content 90,2,5,2,1,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
67,14,Customer 6,17,3,5,Title 34,Content 31,3,5,3,5,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
68,12,Customer 15,10,7,4,Title 1,Content 75,4,2,4,1,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
69,17,Customer 9,7,1,2,Title 79,Content 83,4,3,5,5,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
71,6,Customer 17,2,4,4,Title 49,Content 31,1,3,3,3,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
72,6,Customer 12,13,1,2,Title 81,Content 93,2,2,1,1,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
73,12,Customer 16,16,9,1,Title 11,Content 16,3,5,3,2,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
74,14,Customer 7,7,6,5,Title 98,Content 13,4,1,4,1,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
75,12,Customer 14,2,7,1,Title 87,Content 88,5,3,4,3,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
76,13,Customer 5,15,1,5,Title 76,Content 93,3,2,5,3,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
79,16,Customer 8,8,5,2,Title 21,Content 11,5,2,4,4,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
80,6,Customer 3,12,5,3,Title 51,Content 91,1,2,3,5,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
81,5,Customer 11,9,1,2,Title 91,Content 92,5,3,2,3,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
83,9,Customer 17,11,5,5,Title 11,Content 87,1,3,2,2,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
84,5,Customer 10,5,4,1,Title 50,Content 23,4,4,1,1,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
85,8,Customer 12,2,3,2,Title 68,Content 53,4,3,4,4,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
86,17,Customer 10,10,8,2,Title 40,Content 8,2,4,2,1,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
87,6,Customer 4,18,7,1,Title 24,Content 1,2,3,1,2,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
88,14,Customer 10,5,5,5,Title 87,Content 78,2,1,1,4,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
89,16,Customer 13,16,5,2,Title 21,Content 4,3,5,2,5,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
90,3,Customer 5,14,8,4,Title 30,Content 45,2,3,1,5,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
91,17,Customer 3,10,10,4,Title 20,Content 15,1,2,1,1,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
92,14,Customer 3,18,1,4,Title 27,Content 36,5,5,3,3,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
93,3,Customer 11,16,9,1,Title 11,Content 15,3,4,3,5,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
94,3,Customer 8,17,7,1,Title 76,Content 33,2,5,1,3,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
95,17,Customer 10,15,9,2,Title 21,Content 93,1,2,4,4,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
96,5,Customer 15,12,3,3,Title 51,Content 30,5,5,4,4,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
98,12,Customer 14,4,3,4,Title 18,Content 60,3,3,3,4,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
99,9,Customer 15,21,2,1,Title 7,Content 96,3,1,3,1,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
101,3,Customer 11,14,5,3,Title 5,Content 79,5,4,5,5,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
102,5,Customer 3,18,1,3,Title 58,Content 37,1,3,5,3,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
103,10,Customer 7,21,10,5,Title 53,Content 4,4,5,5,3,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
104,15,Customer 16,2,4,4,Title 54,Content 55,1,1,4,1,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
105,17,Customer 6,5,3,4,Title 17,Content 47,5,5,5,5,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
106,6,Customer 9,10,8,4,Title 23,Content 2,3,1,1,3,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
108,5,Customer 17,13,9,4,Title 53,Content 78,2,2,1,1,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
109,9,Customer 3,21,7,3,Title 82,Content 36,2,4,1,3,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
110,3,Customer 9,6,8,1,Title 2,Content 97,4,1,4,3,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
111,10,Customer 6,13,4,5,Title 87,Content 41,3,1,5,3,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
112,12,Customer 15,11,8,2,Title 18,Content 9,5,2,3,1,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
114,10,Customer 16,19,7,4,Title 34,Content 74,4,2,3,5,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
115,5,Customer 7,18,4,2,Title 81,Content 87,5,1,3,3,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
116,5,Customer 13,3,3,1,Title 94,Content 24,2,1,4,5,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
118,15,Customer 14,9,7,5,Title 66,Content 61,1,4,1,1,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
119,5,Customer 7,20,9,3,Title 49,Content 27,5,3,2,3,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
120,14,Customer 10,8,2,4,Title 20,Content 85,4,4,2,2,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
121,9,Customer 15,19,9,4,Title 50,Content 74,1,4,4,4,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
122,14,Customer 3,19,3,3,Title 22,Content 38,2,1,4,3,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
123,6,Customer 7,21,10,5,Title 27,Content 88,4,3,2,4,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
124,8,Customer 7,11,6,1,Title 73,Content 50,2,2,1,5,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
125,8,Customer 16,11,6,2,Title 55,Content 10,5,1,4,2,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
126,10,Customer 8,10,1,1,Title 89,Content 42,3,5,2,5,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
127,12,Customer 15,7,9,3,Title 89,Content 97,1,5,2,3,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
128,17,Customer 15,6,7,3,Title 72,Content 0,5,2,5,5,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
129,6,Customer 11,19,9,4,Title 53,Content 79,2,3,2,2,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
130,10,Customer 8,7,3,2,Title 24,Content 5,3,3,5,2,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
132,12,Customer 17,20,9,2,Title 43,Content 0,4,3,3,1,1,2024-11-04 13:53:33,2024-11-04 13:53:33,
133,6,Customer 15,7,10,5,Title 89,Content 62,3,2,3,5,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
134,17,Customer 4,10,9,5,Title 85,Content 69,5,2,1,4,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
135,8,Customer 17,13,1,3,Title 52,Content 0,3,2,5,1,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
138,3,Customer 3,3,3,5,Title 82,Content 44,4,2,3,3,4,2024-11-04 13:53:33,2024-11-04 13:53:33,
139,15,Customer 6,18,4,1,Title 79,Content 53,2,5,2,2,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
140,16,Customer 12,13,10,5,Title 37,Content 42,5,4,2,3,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
142,5,Customer 6,10,6,3,Title 47,Content 12,1,3,5,2,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
144,9,Customer 15,20,2,1,Title 24,Content 71,5,1,5,3,2,2024-11-04 13:53:33,2024-11-04 13:53:33,
145,8,Customer 15,3,9,1,Title 93,Content 34,5,3,1,1,5,2024-11-04 13:53:33,2024-11-04 13:53:33,
146,3,Customer 12,20,9,2,Title 35,Content 66,2,2,3,2,3,2024-11-04 13:53:33,2024-11-04 13:53:33,
174,13,Customer 13,10,10,2,Title 7,Content 29,2,2,5,2,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
175,15,Customer 12,15,4,5,Title 72,Content 67,2,1,4,2,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
176,13,Customer 14,16,5,2,Title 53,Content 9,5,5,1,4,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
178,15,Customer 16,21,2,4,Title 52,Content 27,5,2,5,2,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
180,5,Customer 6,16,9,1,Title 95,Content 48,3,2,5,3,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
181,15,Customer 11,5,4,1,Title 90,Content 96,1,3,2,1,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
182,12,Customer 12,9,10,3,Title 73,Content 19,4,2,4,2,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
183,9,Customer 17,13,10,5,Title 11,Content 59,4,3,4,4,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
184,16,Customer 7,17,10,4,Title 10,Content 69,1,4,4,5,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
185,15,Customer 15,18,6,2,Title 80,Content 13,2,1,2,5,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
186,9,Customer 7,7,6,5,Title 66,Content 74,4,3,5,4,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
187,12,Customer 16,14,5,1,Title 61,Content 56,5,2,1,5,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
188,15,Customer 6,15,6,5,Title 90,Content 73,5,4,2,4,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
190,12,Customer 5,5,2,3,Title 69,Content 12,3,2,5,4,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
191,11,Customer 12,13,9,3,Title 24,Content 54,5,2,2,5,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
192,15,Customer 12,15,5,2,Title 37,Content 80,5,5,2,2,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
194,10,Customer 7,21,10,4,Title 84,Content 5,4,3,4,2,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
195,17,Customer 9,7,1,2,Title 72,Content 53,3,5,2,2,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
196,11,Customer 16,15,7,2,Title 71,Content 53,3,1,1,2,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
197,17,Customer 11,18,7,4,Title 22,Content 26,4,2,1,1,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
198,14,Customer 17,14,2,1,Title 66,Content 16,5,4,2,3,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
199,11,Customer 13,16,5,5,Title 73,Content 66,1,4,1,3,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
200,14,Customer 15,16,1,1,Title 70,Content 0,5,4,2,4,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
202,9,Customer 14,9,8,2,Title 78,Content 76,3,1,5,2,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
203,3,Customer 13,12,5,4,Title 53,Content 29,5,3,3,4,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
204,15,Customer 10,20,1,4,Title 98,Content 98,5,1,1,3,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
205,16,Customer 11,3,9,4,Title 33,Content 44,2,4,5,3,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
206,5,Customer 8,5,10,1,Title 74,Content 40,4,4,1,2,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
208,8,Customer 11,16,1,5,Title 84,Content 24,4,4,4,5,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
209,14,Customer 3,19,4,1,Title 58,Content 54,5,2,2,2,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
210,10,Customer 7,19,5,4,Title 9,Content 39,4,2,3,3,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
211,10,Customer 8,10,2,2,Title 18,Content 99,2,1,5,1,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
212,10,Customer 6,14,6,4,Title 7,Content 19,4,1,1,2,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
213,17,Customer 17,19,6,1,Title 19,Content 45,4,1,1,1,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
214,13,Customer 17,15,7,1,Title 47,Content 13,2,5,4,3,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
215,14,Customer 15,2,5,2,Title 5,Content 38,4,5,4,4,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
216,14,Customer 12,21,10,1,Title 12,Content 57,3,4,3,4,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
217,9,Customer 16,5,4,5,Title 71,Content 81,5,1,5,3,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
218,5,Customer 5,11,8,1,Title 76,Content 29,1,1,3,4,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
220,14,Customer 7,9,9,1,Title 66,Content 24,2,2,5,5,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
221,17,Customer 12,7,4,1,Title 77,Content 30,2,1,5,1,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
222,3,Customer 15,21,5,1,Title 55,Content 31,5,3,5,1,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
223,15,Customer 10,5,3,5,Title 44,Content 68,1,3,5,2,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
225,16,Customer 10,18,6,3,Title 62,Content 68,3,4,1,2,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
226,11,Customer 16,15,9,1,Title 36,Content 28,2,4,3,2,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
227,3,Customer 9,4,4,2,Title 18,Content 22,3,2,3,4,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
230,5,Customer 5,12,10,2,Title 56,Content 96,1,4,3,3,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
231,16,Customer 12,7,5,3,Title 28,Content 81,2,4,5,1,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
232,13,Customer 13,9,8,4,Title 33,Content 48,3,4,3,3,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
233,15,Customer 6,16,10,3,Title 35,Content 50,3,4,5,5,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
234,13,Customer 15,19,1,3,Title 41,Content 55,3,1,4,1,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
235,8,Customer 10,12,1,5,Title 86,Content 83,3,3,4,4,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
236,12,Customer 4,15,2,4,Title 61,Content 27,3,5,3,1,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
237,12,Customer 3,5,7,5,Title 39,Content 31,3,1,3,2,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
238,6,Customer 17,4,8,3,Title 6,Content 89,2,4,4,1,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
239,9,Customer 6,21,2,4,Title 77,Content 99,4,2,4,1,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
240,9,Customer 16,4,10,2,Title 93,Content 62,2,4,4,4,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
241,8,Customer 8,17,7,5,Title 63,Content 44,2,2,2,5,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
242,16,Customer 7,17,10,2,Title 45,Content 56,3,3,3,1,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
243,14,Customer 12,20,8,5,Title 55,Content 88,4,1,3,2,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
245,5,Customer 8,8,6,4,Title 91,Content 46,3,3,1,3,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
246,10,Customer 3,14,1,2,Title 78,Content 76,3,1,4,3,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
247,12,Customer 16,13,2,1,Title 89,Content 25,3,1,4,3,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
248,16,Customer 14,3,10,4,Title 53,Content 59,2,1,2,4,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
249,12,Customer 14,2,8,4,Title 42,Content 89,1,2,5,5,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
250,11,Customer 9,13,7,2,Title 75,Content 78,4,1,3,5,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
251,14,Customer 5,15,9,1,Title 12,Content 23,5,2,2,2,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
252,8,Customer 4,8,6,3,Title 25,Content 59,2,2,4,2,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
253,14,Customer 12,16,9,1,Title 19,Content 46,4,2,2,3,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
255,8,Customer 15,5,4,1,Title 74,Content 26,1,4,2,1,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
256,14,Customer 15,20,1,2,Title 71,Content 51,3,3,2,1,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
257,14,Customer 7,4,9,4,Title 18,Content 70,5,4,5,2,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
259,6,Customer 7,19,6,1,Title 98,Content 50,3,2,5,2,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
260,16,Customer 9,11,10,2,Title 98,Content 81,1,1,2,5,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
261,10,Customer 15,14,8,4,Title 42,Content 98,4,2,3,3,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
262,9,Customer 15,19,10,1,Title 57,Content 63,3,2,2,3,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
263,8,Customer 11,15,7,1,Title 51,Content 38,2,3,5,3,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
264,5,Customer 5,6,6,2,Title 91,Content 55,1,2,5,2,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
265,11,Customer 5,2,7,1,Title 2,Content 53,3,2,5,5,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
267,8,Customer 6,2,5,1,Title 32,Content 26,2,5,3,4,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
268,16,Customer 11,2,5,1,Title 91,Content 46,4,4,2,5,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
269,15,Customer 12,12,9,4,Title 93,Content 56,1,2,5,3,2,2024-11-04 14:16:05,2024-11-04 14:16:05,
270,9,Customer 4,4,4,1,Title 9,Content 85,1,3,4,3,5,2024-11-04 14:16:05,2024-11-04 14:16:05,
271,12,Customer 10,16,1,1,Title 48,Content 3,4,3,1,5,1,2024-11-04 14:16:05,2024-11-04 14:16:05,
272,15,Customer 4,19,2,1,Title 20,Content 60,3,2,5,1,4,2024-11-04 14:16:05,2024-11-04 14:16:05,
273,5,Customer 13,21,9,3,Title 71,Content 11,3,5,2,4,3,2024-11-04 14:16:05,2024-11-04 14:16:05,
300,3,Nhân Kha Le,17,48,125,Tuyệt vời,Vị trí thuận lợi,5,4,5,5,5,2024-08-11 17:00:00,nan,
301,3,Nhân Kha Le,2,2,1,Khách sạn tốt,Khách sạn rất tốt,5,4,4,4,4,2024-10-28 17:00:00,nan,
